"Article" "Mean" "Maximum" "Total(Year)"
"Stateville Penitentiary Malaria Study" 23 223 66094
"Alzheimer's Disease Neuroimaging Initiative" 22 492 65341
"Fazio–Londe disease" 22 1068 65664
"Health effects of caffeine" 22 811 64040
"Healthcare in Zambia" 22 406 64896
"List of diseases (Q)" 22 493 63354
"List of diseases (W)" 22 806 64002
"Massachusetts smallpox epidemic" 22 281 62925
"National Health Interview Survey" 22 373 63943
"Oregon Medicaid health experiment" 22 131 63382
"Suicide epidemic" 22 273 64702
"World Pneumonia Day" 22 1747 63996
"American Society for Nutrition" 21 3256 62661
"Approved mental health professional" 21 298 61325
"Camurati–Engelmann disease" 21 595 62486
"Common disease-common variant" 21 475 61841
"Compression of morbidity" 21 247 61699
"Cruveilhier–Baumgarten disease" 21 93 61382
"Epidemiology of breast cancer" 21 211 61584
"Health Insurance Innovations" 21 135 61415
"Health politics" 21 494 60585
"Health spending as percent of gross domestic product (GDP) by country" 21 1708 61905
"Household air pollution" 21 251 62400
"List of diseases (K)" 21 1278 61170
"List of diseases (R)" 21 496 60517
"Mental illness denial" 21 1004 60361
"Nutritional epidemiology" 21 120 61222
"Clinical epidemiology" 20 475 58355
"Disease ecology" 20 225 58983
"Disease resistance" 20 374 58868
"Epidemiology of chikungunya" 20 253 59555
"Health consequences of the Deepwater Horizon oil spill" 20 1978 57273
"Hirayama disease" 20 672 58507
"List of diseases (G)" 20 496 58364
"List of diseases (N)" 20 499 57789
"List of diseases (X)" 20 493 58115
"Mental health in aviation" 20 289 59640
"Mental health nurse" 20 6921 59181
"Mental illness in ancient Greece" 20 73 57499
"National Centre for Infectious Diseases" 20 432 57785
"Spatial epidemiology" 20 233 57466
"Taiwan Centers for Disease Control" 20 262 58766
"United States House Energy Subcommittee on Health" 20 1561 58312
"1812–1819 Ottoman plague epidemic" 19 422 56878
"Biphasic disease" 19 3903 56628
"BMC Public Health" 19 412 55674
"CNS demyelinating autoimmune diseases" 19 1068 55125
"Epidemiology of tuberculosis" 19 199 54924
"Global Health Council" 19 684 55749
"Health professional requisites" 19 437 54498
"Intestinal infectious diseases" 19 223 54216
"List of diseases (O)" 19 495 55002
"Lymphocytic interstitial pneumonia" 19 194 56826
"Malaria Consortium" 19 1143 56460
"Mayaro virus disease" 19 228 54387
"Measles: A Dangerous Illness" 19 11816 54994
"Mental health in Australia" 19 158 56557
"National Collaborating Centre for Mental Health" 19 1479 54313
"National Prostate Health Month" 19 279 56787
"Social determinants of mental health" 19 354 54679
"State health agency" 19 140 55705
"Anti-IgLON5 disease" 18 113 53145
"BMC Health Services Research" 18 223 53934
